card_id,name,faction,rarity,card_type,cost,attack,hp,damage_school,defense_profile,creature_class,world_affinity,structure_class,keywords,combine_family,board_role
dawnline_cartographer,Dawnline Cartographer,Solari,Uncommon,Entity,2,1,4,Radiant,Lightform,Caster,Star,None,Shield;LineMark,solari_cartographers,Line-based shield setup
treaty_spire,Treaty Spire,Solari,Rare,Structure,3,0,5,Radiant,Structure,Construct,Star,Spire,InfluenceDeny;ProjectControl,solari_structures,Anti-influence control structure
solar_mantle,Solar Mantle,Solari,Uncommon,Attachment,2,0,0,Radiant,Lightform,Caster,Star,None,Shield;CannotCorrupt,solari_attachments,Anti-corruption protection
verdict_of_helios,Verdict of Helios,Solari,Holo,Anomaly,5,0,0,Radiant,Unarmored,Caster,Star,None,AreaDamage;Purify,solari_purify_line,Corrupted board punish
celestial_embassy,Celestial Embassy,Solari,Rare,World,3,0,0,Radiant,Structure,Caster,Star,None,Terraform;Influence,solari_worlds,Influence terrain setup
larval_tide,Larval Tide,Voidborn,Common,Entity,1,1,1,Bio,Chitin,Swarm,Corrupted,None,Swarm;Spawn,void_larva_line,Cheap corrupted-world swarm
parasite_crown,Parasite Crown,Voidborn,Rare,Attachment,2,0,0,Void,Chitin,Caster,Corrupted,None,Debuff;SpawnOnDeath,void_parasites,Enemy infection attachment
spawning_pit,Spawning Pit,Voidborn,Rare,Structure,3,0,4,Bio,Structure,Construct,Organic,Nest,Spawn;Broodling,void_structures,Protected spawn engine
black_bloom,Black Bloom,Voidborn,Holo,World,4,0,0,Void,Structure,Caster,Corrupted,None,Terraform;SpreadCorruption,void_worlds,Corruption spread terrain
consume_the_map,Consume the Map,Voidborn,Mythic,Anomaly,6,0,0,Void,Unarmored,Caster,Corrupted,None,SacrificeStructure;AreaCorrupt,void_mythics,High-commit terrain bomb
survey_drone_wing,Survey Drone Wing,Synthari,Common,Entity,1,1,1,Tech,Machine,Drone,Machine,None,Flying;Scan,synthari_drones,Cheap flying information unit
circuit_bloom,Circuit Bloom,Synthari,Rare,World,3,0,0,Tech,Structure,Caster,Machine,None,Terraform;ConnectedWorlds;synthari_network,synthari_worlds,Machine connection enabler
nanite_plate,Nanite Plate,Synthari,Uncommon,Attachment,2,0,0,Tech,Machine,Construct,Machine,None,Armor;FlatArmor,synthari_attachments,Efficient armor attachment
assembly_spine,Assembly Spine,Synthari,Holo,Structure,4,0,6,Tech,Structure,Construct,Machine,Foundry,ConstructSpawn;synthari_network,synthari_structures,Connected machine payoff
system_override,System Override,Synthari,Rare,Anomaly,3,0,0,Tech,Machine,Caster,Machine,None,ExhaustStructure;TemporaryControl,synthari_control,Structure control trick
glowcap_runner,Glowcap Runner,Verdant,Common,Entity,1,1,2,Bio,LivingArmor,Beast,Verdant,None,Scout;SelfHeal,verdant_beasts,Cheap movement healer
mycelial_archive,Mycelial Archive,Verdant,Rare,Structure,3,0,5,Bio,Structure,Construct,Verdant,Observatory,Forecast;HealTrigger,verdant_structures,Healing-to-forecast engine
living_bulwark,Living Bulwark,Verdant,Uncommon,Attachment,2,0,0,Bio,LivingArmor,Beast,Verdant,None,HPBuff;Guardian,verdant_attachments,Living armor protection
